tree	leaf	site	lat	long	loc	use	scan uploaded	bladeL	bladeW	sinusMinL	sinusNextL	petioleL	petioleW	bladeLtoWidestPoint	Area	Mass	Area/Mass	bladeBaseAngle	TotalL.PL+BL	PL/TL	SinusRatio	SinusRatioN	BL/BW	PL/PW	BL/BW.over.PL/PW	BL/BLWP	BW/SinusMinL
MB-MG518	S-B	Spruce Woods Provincial Park	49.76061	-99.15928	MB	T	y	99.265	57.831	37.972	31.141	10.735	1.201	65.002	3176.111	0.381	8336.249344	67.499	110	0.097590909	1.219357118		1.716466947	8.938384679	0.192033237	1.527106858	1.522990625
MB-MG518	W-A	Spruce Woods Provincial Park	49.76061	-99.15928	MB	T	y	117.961	48.102	28.3	40.041	8.534	1.063	87.749	3784.766	0.459	8245.67756	65.038	126.495	0.067465117	0.706775555		2.452309675	8.028222013	0.305461118	1.34430022	1.699717314
MB-MG518	W-B	Spruce Woods Provincial Park	49.76061	-99.15928	MB	T	y	94.313	54.968	41.062	29.826	8.986	1.365	64.623	3009.545	0.357	8430.098039	59.792	103.299	0.086990194	1.376718299		1.71578009	6.583150183	0.260632075	1.459433948	1.338658614
MB-MG517	E-A	Spruce Woods Provincial Park	49.76095	-99.15983	MB	T	y	133.262	74.612	45.826	65.112	6.335	1.182	93.594	5905.326	0.406	14545.13793	72.44	139.597	0.045380631	0.703802679		1.786066584	5.359560068	0.33324873	1.423830587	1.628158687
MB-MG517	E-B	Spruce Woods Provincial Park	49.76095	-99.15983	MB	T	y	122.616	67.989	45.513	48.025	7.92	1.15	90.444	5247.674	0.44	11926.53182	77.447	130.536	0.060672918	0.947693909		1.803468208	6.886956522	0.261867227	1.355711822	1.493836926
MB-MG517	N-A	Spruce Woods Provincial Park	49.76095	-99.15983	MB	T	y	119.971	100	49.33	56.238	12.083	1.44	56.226	7277.313	0.855	8511.477193	98.333	132.054	0.091500447	0.877164906		1.19971	8.390972222	0.142976281	2.133728168	2.027163998
MB-MG517	N-B	Spruce Woods Provincial Park	49.76095	-99.15983	MB	T	y	108.021	58.362	40.292	29.229	5.679	1.248	50.121	4095.385	0.357	11471.66667	86.912	113.7	0.04994723	1.378493961		1.850878997	4.550480769	0.406743615	2.155204405	1.448476124
MB-MG517	S-A	Spruce Woods Provincial Park	49.76095	-99.15983	MB	T	y	147.12	92.559	46.047	59.038	12.529	1.655	71.581	8103.904	0.758	10691.16623	95.942	159.649	0.078478412	0.779955283		1.589472661	7.570392749	0.209959075	2.055294003	2.010098378
MB-MG517	S-B	Spruce Woods Provincial Park	49.76095	-99.15983	MB	T	y	121.067	79.008	41.232	27.24	12.312	1.389	71.383	4969.878	0.49	10142.60816	67.222	133.379	0.092308384	1.513656388		1.532338497	8.863930886	0.172873471	1.696020061	1.916181607
MB-MG517	W-A	Spruce Woods Provincial Park	49.76095	-99.15983	MB	T	y	123.987	86.295	33.144	48.94	10.517	1.234	70.321	5646.544	0.399	14151.73935	79.348	134.504	0.078190983	0.677237434		1.43678081	8.522690438	0.16858301	1.763157521	2.603638668
MB-MG517	W-B	Spruce Woods Provincial Park	49.76095	-99.15983	MB	T	y	122.429	63.88	25.727	41.555	10.605	1.144	71.977	4230.131	0.3	14100.43667	68.57	133.034	0.079716463	0.619107207		1.91654665	9.270104895	0.206744872	1.700946136	2.482994519
